candidate_id,rank,score,reasoning
CAND_0018499,1,0.9990,"Strong fit — Senior Machine Learning Engineer at Zomato (7.2 yrs exp); ranking/recommendation system work; corroborated skills: Weaviate, Recommendation Systems, Pinecone, Information Retrieval; based in Pune/Noida (JD-preferred hub)."
CAND_0046525,2,0.9729,"Strong fit — Senior Machine Learning Engineer at Genpact AI (6.1 yrs exp); ranking/recommendation system work; corroborated skills: Elasticsearch, LangChain, Machine Learning, Information Retrieval; based in Pune/Noida (JD-preferred hub)."
CAND_0050454,3,0.9696,"Strong fit — AI Engineer at Rephrase.ai (6.8 yrs exp); ranking/recommendation system work; corroborated skills: LangChain, QLoRA, Fine-tuning LLMs, FAISS; based in a welcomed Tier-1 India city."
CAND_0081846,4,0.9660,"Strong fit — Lead AI Engineer at Razorpay (6.7 yrs exp); embeddings-based retrieval work; corroborated skills: Information Retrieval, Learning to Rank, Elasticsearch, Vector Search; elsewhere in India but open to relocation."
CAND_0041669,5,0.9507,"Strong fit — Recommendation Systems Engineer at CRED (8.0 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, Milvus, PEFT, QLoRA; based in Pune/Noida (JD-preferred hub)."
CAND_0062247,6,0.9486,"Strong fit — AI Engineer at Google (7.3 yrs exp); ranking/recommendation system work; corroborated skills: Pinecone, Vector Search, Qdrant, RAG; elsewhere in India but open to relocation."
CAND_0077337,7,0.9473,"Strong fit — Staff Machine Learning Engineer at Paytm (7.0 yrs exp); ranking/recommendation system work; corroborated skills: Semantic Search, QLoRA, Pinecone, BM25; elsewhere in India but open to relocation."
CAND_0083879,8,0.9274,"Strong fit — Machine Learning Engineer at Ola (7.1 yrs exp); ranking/recommendation system work; corroborated skills: Fine-tuning LLMs, Milvus, Prompt Engineering, Machine Learning; based in Pune/Noida (JD-preferred hub)."
CAND_0064326,9,0.9270,"Strong fit — Search Engineer at Sarvam AI (7.6 yrs exp); ranking/recommendation system work; corroborated skills: Milvus, Semantic Search, Weaviate, RAG; based in a welcomed Tier-1 India city."
CAND_0079387,10,0.9267,"Strong fit — AI Engineer at Microsoft (6.9 yrs exp); vector DB / hybrid search production experience; corroborated skills: Recommendation Systems, Sentence Transformers, Vector Search, OpenSearch; elsewhere in India, relocation preference unclear."
CAND_0002025,11,0.9226,"Strong fit — Senior AI Engineer at Apple (5.9 yrs exp); ranking/recommendation system work; corroborated skills: FAISS, OpenSearch, Weaviate, Sentence Transformers; elsewhere in India, relocation preference unclear."
CAND_0011687,12,0.9215,"Strong fit — Senior NLP Engineer at Niramai (7.8 yrs exp); ranking/recommendation system work; corroborated skills: OpenSearch, FAISS, PEFT, Feature Engineering; elsewhere in India, relocation preference unclear."
CAND_0086022,13,0.9100,"Strong fit — Senior Applied Scientist at Sarvam AI (5.3 yrs exp); ranking/recommendation system work; corroborated skills: Vector Search, Recommendation Systems, Fine-tuning LLMs, Elasticsearch; elsewhere in India but open to relocation."
CAND_0068811,14,0.9096,"Strong fit — Applied ML Engineer at Freshworks (8.0 yrs exp); ranking/recommendation system work; corroborated skills: Vector Search, Kubeflow, Qdrant, Embeddings; based in Pune/Noida (JD-preferred hub)."
CAND_0071974,15,0.9095,"Strong fit — Senior AI Engineer at Netflix (7.8 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, Learning to Rank, Weaviate, PEFT; elsewhere in India, relocation preference unclear."
CAND_0046064,16,0.9082,"Strong fit — Senior NLP Engineer at Salesforce (8.9 yrs exp); ranking/recommendation system work; corroborated skills: Pinecone, BM25, OpenSearch, PEFT; elsewhere in India, relocation preference unclear."
CAND_0099806,17,0.9077,"Strong fit — AI Engineer at Mad Street Den (4.6 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, RAG, Prompt Engineering, FAISS; elsewhere in India but open to relocation."
CAND_0037566,18,0.9070,"Strong fit — Machine Learning Engineer at LinkedIn (6.9 yrs exp); pre-LLM-era applied ML experience; corroborated skills: Pinecone, NLP, LoRA, QLoRA; based in a welcomed Tier-1 India city."
CAND_0036184,19,0.8994,"Strong fit — Recommendation Systems Engineer at CRED (6.0 yrs exp); search/retrieval experience; corroborated skills: QLoRA, FAISS, LangChain, Semantic Search; elsewhere in India, relocation preference unclear."
CAND_0052328,20,0.8988,"Strong fit — Recommendation Systems Engineer at Amazon (6.5 yrs exp); ranking/recommendation system work; corroborated skills: LoRA, OpenSearch, QLoRA, Recommendation Systems; based in Pune/Noida (JD-preferred hub). Concern: inactive 93d."
